"nbparticles","height","nbthreads","blocksize","exectime","buildtime","algoname"
1000000,5,1,128,12.6573,0.458784,"TbfSmSpetabaruAlgorithm"
1000000,5,2,128,6.51036,0.456976,"TbfSmSpetabaruAlgorithm"
1000000,5,4,128,3.32847,0.464821,"TbfSmSpetabaruAlgorithm"
1000000,5,8,128,1.79346,0.462837,"TbfSmSpetabaruAlgorithm"
1000000,5,16,128,1.04992,0.461603,"TbfSmSpetabaruAlgorithm"
1000000,5,32,128,0.749235,0.463023,"TbfSmSpetabaruAlgorithm"
10000000,6,1,256,143.438,4.0751,"TbfSmSpetabaruAlgorithm"
10000000,6,2,256,73.3543,4.06493,"TbfSmSpetabaruAlgorithm"
10000000,6,4,256,36.7799,4.13559,"TbfSmSpetabaruAlgorithm"
10000000,6,8,256,18.8349,4.13167,"TbfSmSpetabaruAlgorithm"
10000000,6,16,256,9.9183,4.13533,"TbfSmSpetabaruAlgorithm"
10000000,6,32,256,6.13405,4.12157,"TbfSmSpetabaruAlgorithm"
